,Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
0,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"Que bonito
Mensaje bravooooooooo
💙💚💛💜💗",UgwX93ngjaLG6XXkfmR4AaABAg,0,3
1,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,aunq les duela a mis amigos,UgxZQ1wy1NNf8_Fjpuh4AaABAg,0,2
2,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"BIEN DICHO Esli González, total apoyo a tu comentario.",Ugw1VYdIYMzWiT4zDmp4AaABAg,0,2
3,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"La vida es hermosa majestuosa
Y divina se fuerte 
Dile no a las drogas",Ugzw9r38KRwGc31xEKZ4AaABAg,0,3
4,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,Gracias sr presidente gracias x su calidad humana...👏👏👏👏👏👏❤❤❤❤❤❤,Ugx7zLfcckiYYQgPQ0l4AaABAg,1,2
5,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"NO HAY PROGRAMAS , SOLO HAY, DAR Y DAR DINERO, como si eso lo resolviera TODO!",UgwLEHsKQ6w5og-l15R4AaABAg,0,1
6,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,ASE UNOS DIAS FUE LAGUARDIA NACIONALA OAXACA ADESPOJAR ALOS INDIGENAS PORQUE NOLE PREGUNTAN ESO,UgzInj6lWp4bfssUSzx4AaABAg,5,6
7,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,Y de la inseguriadad que vive el pais no menciona nada...,Ugy6P_x7XARltweR0OR4AaABAg,2,4
8,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,Importante aviso en la conferencia,UgzyffFa_9rSnjwwKWl4AaABAg,0,0
9,AMLO,MILENIO,"Conferencia Matutina de AMLO, 03 de diciembre de 2019","Conferencia matutina del Presidente Andrés Manuel López Obrador (AMLO) del martes 03 de diciembre de 2019, desde Palacio Nacional. #ConferenciaAMLO ...",96CAEQKNlDo,"Y si estan trabajando los 2000 mil choferes, que iva a contratar y que se le hizo mucha promocion?",Ugx3pVw6Cr3pAb_dV3t4AaABAg,0,0
