,Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
0,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,"Luisito: no me parece mal precio
Ecuatorianos: jueput. K tiene Wi-Fi",UgxgCJwxICKYvPK10_p4AaABAg,14,219
1,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,"Luisito: 120$ no me parece mal precio
Ecuatorianos:Que esta vivo el monigote mamvrga :v",Ugxs1GLZhZ68wtgWEMp4AaABAg,5,90
2,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,2019 a quemar a luisito para que el 2020 sea un año de viajes 😊🇪🇨,UgwDWBBC9BaFwnr4gW94AaABAg,0,18
3,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,Si le asombra ese tamaño es poque aún no a visto los masivos que hacen en plena calle JAJAJA..🇪🇨,UgyL9NcCJuEjILyTywR4AaABAg,1,29
4,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,*Like si eres Ecuatoriano* 🇪🇨,UgyOHbR_QoNPCNI-Pk94AaABAg,0,51
5,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,"Like si eres ecuatoriano 🇪🇨🇪🇨🇪🇨🇪🇨
Luisito debiste poner la canción yo no olvido el año viejo y  aparte tienes que venir a ver las viudas 😁🤗😜✌ saludos",Ugy27gjZ8Ux85qWnyN14AaABAg,8,276
6,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,Y eso que no has vivido un carnaval en Ecuador 😂😂,UgzN2XjYA29PwXNzpq14AaABAg,3,27
7,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,"A quién prefieres?
Like: Luisito comunica
Comentario: Luisito rey",UgzLRcnYHDXClqffpRZ4AaABAg,4,74
8,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,Like si eres de Ecuador bby ❤️,UgxVJLlJ4DnunxGIDPx4AaABAg,2,79
9,lusito comunica,Luisito Comunica,La tradición MÁS PELIGROSA de Ecuador 🧨🇪🇨 | Año Viejo,SUSCRÍBETE! - Twitter https://www.twitter.com/LuisitoComunica - Facebook http://www.facebook.com/LuisitoComunica - Instagram ...,LguIzHbVnME,"Cuando tu tio entra a tu cuarto- tengo miedo 
But es el tio luisillo 
:v like si quieres que luisito venga a tu país",UgyssWFD3n85cMiLrXp4AaABAg,1,7
