,Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
0,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,"Antes lo veía mucho 😂😂😂 

Ahora ya es 2019 y lo volví a ver jajaja 😂",UgyvTpt62KI6bXbMunh4AaABAg,7,328
1,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,"Nadie :

Absolutamente nadie :

Yo viéndolo en 2019 ;v",UgwB3BGj5pXWlHT6sRl4AaABAg,0,22
2,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,Me encantó como canto Katia al comienzo ❤😍,UgzVZaFicx_OXq69i-h4AaABAg,4,431
3,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,Alguien en 2018?,Ugxc8nXPkw0jSYYZbjt4AaABAg,21,569
4,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,A kien mas le encanta cuando canta katia al comienzo??,UgjccI-maS3a_ngCoAEC,19,1882
5,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,"2019?


Los extraño :'v",UgyyC2U71wg5WsbF0ZV4AaABAg,0,15
6,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,Like si quieren el tercer musical,Ugg7wk6j4s-PAXgCoAEC,0,158
7,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,me gusta mas este musical que el segunso. Mi Parte fav. es cuando catia dice : Claro que te gusta se te nota morra cada que lo ves se te alborota la cotorra,Ugif1T0lFbC3TngCoAEC,11,234
8,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,Like. Si. Estas.  Viendo. Ese te.   Video.  En.  2018.   Y. Estas.  Triste. Por. Que. Se. Fueron,UgwMOQo_25Rdt8CjZjx4AaABAg,13,340
9,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,"No si la economia social de estados unidos 

""FIJATE IMBECIL"" 


Jaja morí de risa en esa parte",UgiyGEC8AR7VingCoAEC,1,119
10,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,"gil , carlos y katia cantan chingon 💖",Ugg8wZtVW1pyangCoAEC,3,130
11,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,2018?? Alguien??,Ugx-gJEYHLBpkRKhbxh4AaABAg,11,383
12,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,"El minuto 3:23
Carlos:O si we la economia social de estados unidos, fíjate imbécil . Jajajaja mori😂😂😂",Ugwt_O3lBw7XzAqDAN94AaABAg,0,75
13,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,"1._ Riptide - Vance Joy
2._ Lean On - Dj Snake
3._ Flawless - Beyonce
4._  Somebody That I Used To Know - Gotye
5._Thinking Out Loud - Ed Sheeran
6._ Blank Space - Taylor Swift
7._ Uptown Funk - Bruno Mars 
8._ Hey Mama - David Guetta
9._ One Last Night  One Earth ( East & Young Remix )
10._ Thrift Shop - Macklemore & Ryan Lewis",UgiPUbxkjw6SwHgCoAEC,13,566
14,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,Quién extraña los musicales)):?,Ugz8uuZTD-RI0t0kP9B4AaABAg,2,45
15,uno tv,Take Uno Tv,El Primer Musical de Take Uno Tv | Hits 2015,A ver si te aprendes las canciones. :D ▻Music by Rustro https://www.facebook.com/RustroOfficialMusicPage?fref=ts ▻Coreografía por Pro-Prodigio (Jorge ...,AY_R1l1VcmU,Like si viste a Iván bailar gracioso 😂 en el minuto 7:42,UgzkkqccXERv7X6OUn94AaABAg,0,24
