,Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
0,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"“Yayo estaba taaan gordo que se hacía una Rusa sólo..”
JAJAJJAAJJAJAJJAJAJJAJAJA",Ugwuh-oBqRqq3Z1l9Jp4AaABAg,0,94
1,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Humillar a Yosstop era parte del guion? Jajajajaja INCREÍBLE.,Ugyr10zTfdnI1EUC0iZ4AaABAg,0,75
2,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Yayo tenía un guión y prefirió hacer el ridículo.,UgwcF1MP70ILtX0i2st4AaABAg,0,70
3,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Se la bañan, por que les bloquearon el otro 😒",UgzwsBeIskdCYUd-J6F4AaABAg,0,46
4,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Quitaron el reaccionando al roast? Lo quise ver y estaba bloqueado por mitu,UgxpvfzViivPIpKoY1p4AaABAg,13,47
5,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Werever Qué chingon que andes acá haciendo videos , soy fan tuyo desde 2009 siempre me haces reír",UgxDLn5q2FXnf81a7VF4AaABAg,1,16
6,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Gabriel siempre serás el pionero de YouTube,  que siga el éxito para ti. saludos!!!!!",Ugxs-XmNZapsnLICFS54AaABAg,0,15
7,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,22:47 quemando bien duro con la manzana,Ugwqt80QCQ8gWnReCwN4AaABAg,3,28
8,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Sube el en vivo donde reaccionaste a tu roast.
Psdt: ya lo desbloquearon.",UgxjOoykB-tEeF8nIfx4AaABAg,0,9
9,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Ojala vuelvan algunos capítulos del yukque 😁,Ugz35vW0HurriFsjo3d4AaABAg,0,11
10,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Weyyyyyy
Ya borraron el otro video :(",UgyUatqT5H8yfMLShNB4AaABAg,0,32
11,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"15:20 ""para que todo quede bien a la hora del show"" dice el wey. 😂😂😂",UgwimEUxE27_tGNydyJ4AaABAg,0,10
12,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Que pedo, que pedo....cerré youtube un minuto para ir por mi bonice regresé y todo bloqueado! Jaja",UgzPXjZs58sUTl8ItAp4AaABAg,1,8
13,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,22:46 La galatzia con la clásica pipa-manzana jajajaja,Ugx2mXBPXEBhKIc-87B4AaABAg,1,11
14,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,19:21 lo más hermoso que verán en su vida,UgyWxxZ1QBVtzWudkrV4AaABAg,0,9
15,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Strecci no solo cago el roast sino cago el detras del roast..... ALV... jajaja,UgxTz0lM-UQbV76oRAt4AaABAg,1,9
16,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Werevertumorro  sigue activo :o,UgyXgawn2udGsHcioLF4AaABAg,0,4
17,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Ya no pude ver la primera parte 🥺😭,UgwK4D8VQskPRYGj3WN4AaABAg,0,3
18,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Quedo super chido este roast reacción :3,UgyHdTvbEXg0hhSE7HZ4AaABAg,0,2
19,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Ya entendí porque decían cola 😁😁🤣🤣,UgxS-7I8tA_6M0MICsF4AaABAg,1,4
20,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"22:43 la buena manzana pipa, yo tambien aplico eso cuando no tengo canalas",Ugzmmo_DREWrMXv32Ax4AaABAg,0,3
21,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Se quedo en privado el stream? Jajaja ya no sale en el canal, lo puedo ver pero solo por que me sale en el historial por que vi un poco hace rato jajaja",UgwqdCbqRyhib8YE_yp4AaABAg,0,2
22,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Que buen video.!! Saludos de otra youtuber. Si vez esto te deseo una linda noche,UgyrnfqAOLl5n0x7wN54AaABAg,4,5
23,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Ya es media noche pero aquí estamos 🤓,Ugxa_HHeF3OCShk8Fzh4AaABAg,2,3
24,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"No inventes que época, extraño esas lindas épocas de YouTube 💔",Ugy_0l23qrjycxojliV4AaABAg,0,0
25,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Uh! Cuando mexivergas caia mal 😅,UgzGi7betj7B94AJ0pp4AaABAg,3,5
26,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Yayo cagó el roast 👌,Ugyzoz0F44Ff5Fhfw614AaABAg,0,5
27,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Años tiene este importante acontecimiento Y ME SIGO CAGANDO DE RISA POR EL RIDÍCULO DEL YAYO,UgyIb7tRI2dZXU6OJyd4AaABAg,0,2
28,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Alguien más vió la manzana quemada de Galatzia 😹,UgxOoRaWpmkEgkGU7-54AaABAg,0,1
29,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Ojalá dejaras ver este video/reacción en un futuro aqui en tu canal y no lo tengas en oculto, saludos y que mal pedo lo de mitu",UgwrT_OLNnhMOgROoVh4AaABAg,0,2
30,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Me encanto el video 😂❤️,Ugx0ycTKPkm0ZUJiJfV4AaABAg,0,1
31,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,39:41  ese chiste envejecio muy bien jajajaj,UgxwdycQ1g8TGG_hWtp4AaABAg,0,2
32,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Subelo a otro lado, ya bloquearon el otro",UgxzpJz93SYQyS90lvN4AaABAg,0,1
33,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,Me sigo preguntando porque no participo el escorpion dorado,UgwONqQzCknPOXPQyrd4AaABAg,3,6
34,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"No mms que pedo, hasta sale el Negas jaja 19:22",UgzAYeAQwFr9XKwxheB4AaABAg,0,2
35,werevertumorro,Werevertumorro,MATERIAL INEDITO DEL ROAST,USA EL CODIGO DE CREADOR: ELGABOREVER PARA SEGUIRTE.,eeWShnKCodM,"Me queda a la mitad de el stream 😔, que mal pedo que lo borren .
Saludos y apoyo",Ugzde2_Vnu-mV6PPhrJ4AaABAg,3,2
